Guild Members; Alex; Alligume; Belette Manon; Ben; BobLeBot; Boby Leymard; Cine; Codex2151; DaleX; Dark Nash; DarkDigger; Daïdhara; Deadline; Din Djarin; Domotikator; El fifi; Fenwicks; Findeath; GuigzZ; Heavo24; Jaarael; Kaa76; Kaïpan; Kobalt; Korto Vos; Luffy saitama; Lumpouille; Malachor V; Mol Issou; Nightmarr; Nuke; Obi Dam Nabira; ObiWanPeace; ObiWanPeach; Obiwan18; Peldor Varga; Popi le terrible; Pouhpou; Revanche Gilder; Skicker; Snorlax; valkorion; Varr; Virance; Von Barbiche; Whills Wotan; Wébélu; Xilebo; dark sid
Kylo Ren; 58181; 78045; 31816; 54905; ; 51842; 56275; 54045; 28315; 14410; 58957; 59861; 59478; 61425; 60697; 22637; 65931; 62538; 47194; 48566; 48320; 58958; 49235; 56682; 52039; 65475; 26400; 54959; 47194; 54826; 57734; 26631; 52952; 59928; 48955; 57071; 57743; 56966; 53275; 51789; 55434; 57645; 71428; 62164; 17954; 55423; 24744; 26837; 58957
L3-37; 700; 38827; 7787; 72175; ; 23478; 75612; 73459; 17348; 11039; 27054; 78831; 18747; 78917; 21486; 20730; 23822; 29515; ; 63008; 19667; 14424; 53340; 20539; 65878; 68309; 9008; 72871; 59574; 22079; 70959; 15972; 74543; 628; 53340; 19716; 77110; 53340; 74305; 69217; 24407; 66172; 72956; 23194; 6206; 30863; 646; 682; 27054
Logray; 14866; 22556; 53272; 585; ; 19379; 23991; 20833; 19009; 17274; 17559; 16669; 16341; 23276; 29770; 19416; 20745; 18002; 17812; 16847; 18036; 24958; 585; 23509; 21211; 20119; 10817; 18991; 18645; 20134; 14247; 639; 20163; 19616; 49577; 24725; 19209; 20790; 14157; 17794; 19997; 18867; 17025; 16878; 53234; 19184; 8807; 621; 17559
Luminara Unduli; 19027; 18789; 13432; 577; ; 14336; 18653; 9423; 18311; 18669; 17987; 577; 12517; 12553; 22725; 20673; 23980; 9388; 10035; 577; 577; 16347; 7553; 16920; 20035; 14723; 16461; 577; 559; 18804; 12661; 16087; 17283; 15182; 14673; 20712; 559; 13059; 12661; 577; 17477; 15118; 577; 22405; 28029; 15920; 577; 16087; 17987
Mission Vao; 30419; 22232; 20227; 13491; ; 18824; 42415; 17914; 18366; 18488; 28738; 17218; 17067; 18722; 23163; 20967; 19259; 16123; 18568; 17310; 19931; 19651; 18859; 19280; 17465; 28675; 18299; 20972; 19060; 18052; 21069; 26606; 20128; 18070; 12167; 28765; 18574; 19266; 15783; 18944; 18194; 19248; 19359; 18386; 19919; 18868; 25636; 18507; 28738
Nightsister Initiate; 22411; 25314; 22460; 20490; ; 15226; 22668; 554; 26652; 22021; 16934; 13946; 22556; 32429; 22466; 21383; 18536; 9788; 7142; 662; 14684; 62367; 20660; 28140; 34192; 10289; 26558; 662; 8042; 35817; 572; 21110; 25610; 21034; 18896; 20279; 572; 662; 16304; 662; 662; 590; 662; ; 21110; 17798; 572; 13568; 16934
Old Daka; 18359; 41075; 24092; 23034; ; 20851; 140152; 12983; 19565; 23420; 31485; 25871; 81227; 99022; 40198; 111040; 119480; 30122; 55544; 14089; 33030; 36997; 24848; 90660; 24213; 9947; 33910; 26154; 30881; 25907; 25766; 20329; 104214; 26554; 23733; 95787; 26049; 103530; 27707; 16495; 119449; 2495; 26219; 95039; 93928; 118182; 17803; 34832; 31485
Pao; 14909; 15636; 7677; ; ; 490; 19085; 52177; 11268; 9336; 14641; 490; 15782; 12709; 18998; 13452; 19714; 490; ; 490; 490; 2740; 490; 15606; 11652; 490; 15350; 490; 490; 14332; 26658; 490; 20262; 490; 5350; 12356; ; 14422; 11718; 490; 490; 436; 490; 19115; ; 20701; 17703; 472; 14641
Paploo; 24674; 30447; 31696; 26306; ; 24500; 28505; 29532; 27335; 68743; 32643; 25568; 27273; 31947; 34883; 33526; 33768; 29189; 24843; 32479; 28439; 32471; 39268; 33076; 20417; 26348; 28063; 27262; 28439; 62811; 30412; 34875; 25985; 30642; 32207; 29658; 26819; 29284; 24405; 29344; 31459; 31103; 25395; 24869; 36574; 28180; 62572; 32722; 32643
Princess Leia; 14091; 23807; 17199; 44615; ; 43112; 42019; 41897; 46292; 15187; 49393; 41627; 40325; 43610; 52576; 54509; 48531; 42457; 12704; 11029; 11623; 54750; 42670; 42350; 24363; 42726; 43426; 42007; 26453; 42689; 44315; 55828; 44033; 42255; 60181; 19302; 14236; 46665; 44492; 20311; 47333; 45067; 11947; 45335; 42109; 47372; 58870; 42547; 49393
Qui-Gon Jinn; 39395; 55807; 41156; 14732; ; 45402; 37539; 43233; 40225; 42995; 41976; 9391; 40741; 21261; 45715; 15563; 45020; 16035; 41458; 535; 38223; 46089; 46406; 43032; 49500; 15068; 40195; 17925; 19780; 16011; 42563; 15068; 42938; 13466; 47271; 33263; 11837; 41900; 17104; 51411; 60332; 481; 11666; 43353; 42633; 40041; 48109; 15032; 41976
Rebel Officer Leia Organa; 52834; 55815; 21006; 44268; ; 44674; 55013; 44653; 50037; 36378; 50708; 44520; 42388; 51588; 61320; 62381; 47293; 46926; 42388; 32506; 53939; 46309; 48042; 54443; 52999; 52628; 54961; 47986; 44100; 45211; 44110; 61850; 45829; 48202; 43612; 13789; 15563; 47257; 50592; 45555; 44916; 57725; 10926; 45142; 50283; 45695; 52506; 44943; 50708
Resistance Hero Finn; 508; 13854; 4186; 58621; ; 62127; 68035; 54958; 7511; 4873; 77394; 77780; 66042; 64142; 67512; 8095; 9420; 54958; ; 73263; 54958; 60386; 54958; 68765; 54958; 58486; 7432; 64184; 61886; 58963; 80649; 57340; 55768; 54958; 54958; 490; 56479; 69857; 16045; 60453; 63653; 66016; 54958; 64458; 490; 64534; ; 508; 77394
Resistance Hero Poe; 544; 10481; 4852; 61564; ; 57130; 67879; 57130; 10828; 7568; 65529; 62118; 59863; 59083; 62412; 11943; 13398; 57130; ; 62565; 57130; 62288; 57130; 58634; 58401; 79656; 6472; 59092; 61728; 61877; 67342; 64398; 63617; 57130; 57130; 526; 61568; 60199; 15710; 60413; 63623; 61863; 57130; 61310; 490; 59047; ; 24984; 65529
Rey (Scavenger); 12360; 16681; 13297; 44673; 440; 47794; 50186; 47001; 16006; 6577; 19550; 52129; 47986; 54359; 64429; 16965; 16832; 45487; 440; 54771; 44691; 19015; 45103; 57001; 52579; 56807; 14264; 45347; 43996; 51164; 50943; 66145; 15619; 13182; 46630; 20097; 51385; 46493; 11122; 53136; 54906; 52594; 43996; 53659; 15072; 57683; 12094; 12703; 19550
Rose Tico; 538; 17084; 4952; 60552; ; 45192; 47022; 45192; 7230; 6100; 56186; 50246; 45192; 55025; 59137; 13970; 19605; 45192; ; 53497; 45192; 52706; 52354; 46224; 45192; 66204; 574; 49560; 45192; 67921; 45192; 49773; 45848; 45192; 45192; 13979; 45192; 56056; 520; 50665; 54830; 51597; 45192; 45192; 2796; 60237; 4380; 520; 56186
Sabine Wren; 11468; 28723; 12484; 8790; ; 6870; 24694; 8646; 24784; 12835; 12492; 8754; 21790; 16117; 46577; 16713; 14859; 16396; 12020; 8214; 19687; 13246; 20006; 23339; 22957; 1090; 11537; 12656; 8646; 12722; 7154; 496; 14324; 14310; 9960; 11973; 12732; 11160; 18882; 10660; 12979; 6410; 10086; 12686; 6902; 51985; 23472; 17640; 12492
Savage Opress; 24178; 15538; 77665; 85767; ; 20541; 57018; 11868; 33757; 25659; 46244; 692; 50973; 70175; 31434; 25782; 68184; 59750; ; 36564; 692; 32549; 29351; 31889; 24664; 34897; 9996; 70130; 42060; 34198; 91559; 47399; 51359; 692; 11320; 23566; 35414; 87080; 28082; 30684; 85903; 48919; 77917; ; 33952; 58668; 13076; 32683; 46244
Sith Trooper; 63296; 87450; 13120; 68913; ; 70839; 77162; 67404; 12775; 30520; 87430; 62389; 59874; 71118; 76421; 13144; 83657; 59368; 59368; 72821; 59368; 61658; 72447; 72210; 66956; 68924; 22413; 61063; 67629; 73110; 72008; 646; 59368; 69545; 70142; 74307; 67135; 76803; 70433; 70278; 81052; 69828; 76828; 62158; 22676; 69864; 646; 30327; 87430
Tech; 497; 55969; 7434; 515; ; 515; 47922; 479; 24050; 42001; 55899; 3973; 6779; 49811; 45909; 17564; 42384; 515; ; 479; 479; 479; 41278; 19814; 46072; 479; 42367; 479; 515; 48516; 20899; 497; 515; 515; 515; 497; 479; 533; 17095; 497; 48821; 479; 497; 43118; 16386; ; 57859; 46714; 55899
Threepio & Chewie; 20974; 74524; 64366; 66466; ; 75332; 78557; 68132; 64052; 61066; 75090; 68544; 72349; 69881; 73993; 64911; 68530; 62596; 66131; 68788; 63967; 67776; 71502; 70253; 32010; 79163; 61963; 70841; 65289; 71273; 71571; 64538; 60909; 64800; 62993; 13759; 26051; 64070; 70332; 33297; 81250; 78522; 695; 81320; 73053; 83241; 69604; 71499; 75090
Vandor Chewbacca; 794; 22776; 6076; ; ; 8798; 63559; 758; 12225; 6751; 25406; 758; 794; 17332; 36501; 7616; 12400; 794; ; 758; ; 3688; ; 848; 18636; 29797; 12145; 23007; 19493; 794; 830; 776; 32604; ; 758; 758; ; 848; 74740; 758; 848; 758; 776; 24155; ; 37526; 776; ; 25406
Veteran Smuggler Chewbacca; 8880; 24448; 7385; 18476; ; 62318; 54735; 62973; 20864; 6513; 21467; 55631; 42578; 51692; 71188; 23049; 22962; 60156; ; 59412; 54206; 26099; 54206; 51321; 23507; 28962; 21238; 36604; 54206; 66587; 49063; 52115; 22522; 19877; 62138; 20564; 54940; 58105; 20282; 58564; 59181; 40406; 61754; 68378; 20263; 68234; 20282; 18386; 21467
Veteran Smuggler Han Solo; 43330; 49103; 12558; 49155; ; 55442; 46998; 50661; 13104; 4860; 53095; 48667; 59082; 44660; 56703; 21799; 60239; 46974; ; 53018; 46974; 51144; 48955; 46126; 45969; 13035; 15783; 21265; 46974; 49081; 12588; 18834; 24019; 45740; 46974; 46566; 54618; 50230; 45607; 50850; 43865; 51131; 50274; 46974; 18817; 56195; 12366; 12582; 53095
Visas Marr; 15025; 18074; 7277; 48643; ; 43931; 32012; 506; 11991; 12813; 66329; 506; 82243; 11682; 59227; 14780; 65622; 542; ; 542; 12446; 68662; 42735; 10586; 19004; 12465; 60106; 61331; 16478; 65885; 73328; 560; 14397; 524; 4430; 524; 542; 560; 11646; 63793; 76382; 506; 24529; 78313; ; 29584; 34593; 35533; 66329
Wat Tambor; 72378; 82314; 73836; 27047; ; 101545; 106097; 84429; 105631; 82126; 90802; 21763; 82870; 23953; 77970; 67358; 77452; 68751; 67219; 17927; 72507; 107974; 77138; 84612; 86254; 20891; 76278; 22026; 42578; 86842; 76304; 92724; 91064; 72854; 80135; 79625; 77810; 78309; 20626; 85582; 74565; 64554; 66560; 85383; 71003; 80169; 78104; 102021; 90802
Wicket; 14590; 18418; 26945; 18727; ; 31337; 42563; 18114; 33457; 18965; 45861; 14245; 13557; 25207; 45484; 23600; 22062; 14081; 17239; 15002; 22522; 11083; 18713; 44228; 20904; 39243; 21136; 14458; 8453; 573; 16682; 20819; 17889; 24321; 29089; 28709; 16905; 14828; 17097; 16289; 573; 17100; 15339; 17754; 8383; 17349; 9195; 23266; 45861
Wrecker; 706; 61695; 10090; 760; ; 724; 61557; 688; 31219; 79432; 79993; 760; 742; 118110; 91976; 18639; 74774; 760; ; 760; ; 706; 78661; 31271; 73486; 688; 61662; 760; 760; 79368; 55309; 706; 706; 706; 16022; 760; 688; 760; 21353; 10966; 74478; 688; 11794; 79157; 24558; ; 104217; 67246; 79993
Young Han Solo; 9700; 29631; 11901; ; ; 18432; 13725; 560; 14329; 7546; 19219; 10024; 10348; 12576; 22434; 15983; 17286; 614; ; 578; 14400; 9270; ; 11681; 12576; 24591; 6978; ; ; 614; ; 614; 19114; 560; ; 14234; ; 614; 19421; 614; 614; 560; 578; 51123; 8152; 9480; 5416; ; 19219
Young Lando Calrissian; 520; 16586; 6799; 42953; ; 13280; 15897; 40856; 13916; 9576; 10728; 40856; 12269; 40856; 17420; 16134; 18948; 538; 3240; 40856; 14260; 9668; 40856; 17036; 44277; 46770; 6721; 56277; 40856; 14995; 50739; 13256; 15173; 538; 40856; 13544; 44329; 40856; 12422; 53142; 538; 45829; 42524; 12038; 13636; 484; 484; 520; 10728
Zaalbar; 43725; 86598; 71021; 30608; ; 42994; 75795; 38155; 35837; 43895; 36737; 43244; 35112; 41824; 42852; 35324; 39647; 45982; 38866; 34254; 32518; 34795; 39188; 38189; 31632; 39487; 45231; 45156; 39818; 80785; 37414; 41550; 35267; 45812; 39371; 49774; 38839; 45801; 28764; 44494; 37833; 41377; 45758; 40153; 39103; 39370; 41202; 42330; 36737
0-0-0; 4511; 461; 4836; 425; ; 425; 9092; ; 3688; 4074; 46057; 44840; 4637; 13291; ; 9305; 7028; 443; 41478; ; ; 425; 461; 42612; 16148; ; ; 443; 461; 443; 425; 425; ; ; ; 425; ; 425; 4511; 13404; 46346; 425; 425; 9732; ; 425; 425; ; 46057
Kyle Katarn; 659; 17998; 7955; 64568; ; 56464; 55009; 64271; 13421; 52604; 66153; 25304; 58372; 23379; 53913; 19089; 60196; 677; ; 695; 18911; 60107; 61618; 21350; 19814; 15654; 56176; 54474; 63608; 74428; 56225; 51632; 39496; ; 659; 677; 56617; 63809; 30755; 56786; 60709; 605; 60156; 56932; ; 60249; 60555; 61065; 66153
Skiff Guard (Lando Calrissian); 11639; 26503; 6983; 83852; ; 46795; 64155; ; 12955; 6264; 68192; 623; 18985; 67459; 22259; 10250; 8109; 659; 69601; 623; ; 623; 695; 60591; 695; 62413; ; 641; 12661; 659; 62790; 641; ; ; ; 623; ; 677; 20102; 641; 58306; 605; 641; 641; ; 66976; 8595; 641; 68192
Stormtrooper Han; 17360; 20891; 14581; 19835; ; 15091; 35579; 19918; 16407; 18328; 59224; 18996; 14710; 19169; 20424; 19711; 21128; 14062; 15378; 14152; 14242; 16536; 14026; 30758; 17290; 14848; 14800; 15592; 27496; 24235; 31451; 23160; 15516; 18246; 14800; 16894; 18403; 19014; 14710; 21445; 20106; 17930; 14710; 16911; 17433; 27612; 14530; 24234; 59224
ARC Trooper; 27316; 97957; 65686; 68107; ; 64191; 82205; 81949; 95878; 80126; 82720; 68126; 60611; 67502; 91940; 64134; 77767; 27918; 75947; 80760; 61720; 72157; 71261; 82714; 84862; 72711; 71243; 62985; 60154; 80791; 84601; 71022; 73115; 79608; 67111; 52187; 66876; 57691; 86576; 71710; 88465; 61734; 32549; 81281; 70769; 85502; 86617; 70937; 82720
First Order Stormtrooper; 63429; 72359; 12882; 59984; ; 66726; 66992; 57116; 15266; 8753; 82391; 69464; 64097; 79376; 80754; 24857; 67949; 57116; 57116; 62941; 60401; 68340; 76316; 88960; 67107; 64714; 30394; 75185; 57116; 79647; 63910; 18710; 70352; 71798; 59554; 66815; 65452; 57927; 59328; 82024; 65921; 81887; 68707; 72330; 4956; 63932; 8916; 13156; 82391
First Order TIE Pilot; 43648; 51903; 17126; 43517; ; 50165; 41976; 51308; 19322; 14407; 47937; 43909; 44041; 48756; 41299; 12484; 41546; 45299; 45299; 48877; 47962; 46680; 46947; 41833; 45299; 47248; 8054; 43113; 46108; 53273; 46451; 15043; 56316; 48923; 45299; 41549; 42787; 54623; 45299; 46628; 48505; 47804; 42559; 45299; 3861; 47962; 17818; 18541; 47937
Royal Guard; 52312; 89946; 51591; 73271; 622; 17057; 126690; 33609; 64091; 67512; 116766; 20428; 28768; 19792; 91116; 57399; 60591; 94987; 65551; 60603; 93054; 56284; 103860; 25984; 70001; 19923; 63964; 24586; 57380; 81567; 75658; 62785; 66745; 15915; 54871; 52990; 53696; 69475; 66004; 21994; 69111; 31078; 72677; 109914; 58645; 37737; 66753; 52470; 116766
Stormtrooper; 15109; 19715; 14632; 15034; ; 16006; 55190; 21561; 15807; 16399; 5568; 14082; 15278; 27459; 32864; 28865; 24078; 14288; 7494; 546; 546; 13956; 25561; 18845; 16994; 22342; 18836; 546; 23715; 546; 26286; 15278; 15148; 546; 9348; 16629; 14635; 21753; 29241; 14288; 51562; 546; 15008; 15008; 46325; 14486; 17219; 28372; 5568
Tusken Raider; 18182; 59317; 31146; 11761; ; 622; 54149; ; 72849; 63530; 64279; 23271; 19574; 27124; 69892; 31399; 62907; 15474; ; 622; 27074; 8470; 56812; 33084; 58150; 4924; 56026; 622; 15078; 73588; 18366; 622; 16747; 622; 17484; 622; 622; 20404; 29193; 20052; 55510; 550; 16212; 67251; 34437; 568; 58747; 55082; 64279
Cad Bane; 52118; 57473; 59192; 50554; ; 50095; 56225; 49783; 55211; 51223; 56037; 47677; 49487; 52158; 65525; 40438; 53648; 49601; 49635; 56929; 51886; 61360; 65369; 50135; 47913; 42878; 50977; 19218; 48924; 18992; 68173; 52016; 49310; 54011; 51453; 50215; 43531; 53525; 67305; 55073; 51475; 55987; 60316; 56237; 48790; 54175; 66316; 48887; 56037
Baze Malbus; 793; 20563; 9332; 25314; ; 21844; 40187; 29977; 19300; 13034; 39826; 793; 13069; 26740; 42395; 26567; 29802; 24781; ; 775; ; 757; 17899; 13069; 829; 775; 12849; 829; 17899; 24311; 829; 829; 829; ; 15633; 26106; 20976; 24948; 25207; 27453; 25870; 757; 17899; 19069; ; 40339; 829; 11295; 39826
Chirrut Îmwe; 13386; 16187; 9763; 12797; ; 15010; 20951; 21578; 15787; 11896; 18608; 490; 14840; 21115; 19277; 16961; 36406; 16226; ; 544; 11286; 13684; 10836; 12588; 13044; 10878; 15602; 544; 10836; 11286; 5940; 16413; 526; ; 11322; 18978; 9160; 12242; 16110; 13727; 16361; 490; 10836; 14582; ; 25108; 14195; 526; 18608
Chopper; 18612; 20285; 18420; 16458; ; 14245; 25283; 14661; 35657; 16101; 21634; 14830; 16643; 18890; 49212; 19208; 20904; 18678; 18490; 13524; 14854; 17283; 21566; 26298; 23025; 28156; 16269; 16109; 15348; 18101; 16279; 21978; 18206; 17878; 22948; 23599; 19875; 23718; 30663; 13004; 16481; 16509; 16150; 17553; 15949; 62679; 22666; 20823; 21634
Geonosian Spy; 23460; 51935; 56362; 18529; ; 47816; 60370; 19959; 50813; 46168; 21541; 19465; 21110; 19133; 22217; 42635; 25976; 19465; 50118; 20964; 51856; 49121; 49992; 47466; 22889; 15299; 49995; 20591; 20454; 19824; 31752; 51131; 39655; 47280; 51117; 41224; 23230; 47124; 19679; 19716; 15979; 18882; 36705; 57482; 21261; 61932; 50751; 30112; 21541
Nightsister Zombie; 18643; 35417; 32576; 26298; ; 18643; 98066; 773; 16636; 23795; 28168; 30317; 39921; 75896; 26107; 90077; 47253; 32280; 22955; 13643; 23042; 29472; 22685; 75792; 23325; 14849; 34585; 24591; 28479; 30012; 26593; 26228; 80297; 29748; 20070; 73801; 18034; 18061; 17671; 21636; 25366; 3185; 25265; 65911; 55568; 24447; 21802; 32341; 28168
Poggle the Lesser; 22555; 59255; 56793; 21409; ; 53810; 68853; 20161; 58411; 58915; 23217; 22140; 42987; 25586; 33609; 52382; 36736; 24241; 58206; 20238; 60865; 60448; 59323; 20282; 25003; 22231; 59280; 21189; 23217; 25876; 33734; 61302; 21871; 54649; 53031; 63370; 20866; 20883; 21799; 23055; 20973; 21615; 23219; 58333; 23700; 29078; 81767; 34061; 23217
Sun Fac; 29462; 76693; 64508; 27322; ; 65186; 70718; 36047; 70431; 63137; 33114; 29125; 40853; 26866; 35947; 55128; 42952; 38599; 61599; 31118; 72156; 64700; 76513; 26466; 35721; 26519; 61789; 28769; 35433; 36486; 40329; 81740; 29057; 66053; 62244; 54008; 37724; 31187; 35069; 36829; 41912; 27869; 32397; 66043; 38691; 68910; 79527; 33405; 33114
Teebo; 20965; 24540; 68608; 28987; ; 28511; 27173; 23043; 25028; 32089; 18899; 17233; 25109; 31160; 21750; 26561; 26907; 14446; 623; 28237; 22126; 28796; 30212; 26454; 22905; 17448; 19497; 677; 15947; 28285; 18417; 27411; 21959; 677; 21298; 21011; 677; 19326; 19773; 677; 13766; 11427; 9569; 13719; 24335; 17697; 63270; 58956; 18899
Aayla Secura; 44877; 57738; 46789; 14294; ; 43506; 53764; 41186; 48707; 48144; 49650; 23629; 45012; 17246; 48994; 26041; 45760; 712; 41008; 712; 40184; 58942; 52499; 41834; 42062; 13774; 53385; 24955; 658; 23979; 46102; 712; 49500; 21750; 44728; 35531; 17285; 43669; 21786; 41525; 45698; 640; 9136; 43447; 44219; 60370; 46672; 8072; 49650
Admiral Ackbar; 17188; 30335; 25944; 21505; ; 25299; 47751; 22502; 22972; 17897; 52958; 13694; 66930; 59043; 55907; 60553; 26479; 24309; 18769; 12970; 19636; 17232; 23460; 51700; 20450; 55607; 23678; 14991; 13190; 22809; 21274; 19636; 20039; 24623; 22302; 24200; 17436; 16583; 26591; 15044; 17130; 23098; 13694; 22570; 23718; 18893; 28047; 23971; 52958
Bistan; 13708; 16993; 8185; 533; ; 13067; 46346; 13040; 14139; 6325; 54354; 551; 17393; 33478; 52792; 17915; 50280; 551; ; 551; 9581; 9065; 50943; 14969; 12374; 9878; 15395; 551; 533; 15598; 16231; 33453; 11131; 5980; 13944; 13584; 11852; 7569; 57827; 551; 49022; 497; 551; 49626; 11483; 51858; 18319; 46078; 54354
Chief Nebit; 20981; 42755; 27458; 15732; ; 774; 41136; 14440; 40229; 38781; 30548; 774; 20432; 39769; 47018; 48654; 26489; 27304; ; 774; 25291; 5076; 774; 56748; 32062; 774; 12628; 702; 738; 31258; 32297; 774; 32914; 774; 27740; 43286; 32858; 26006; 12870; 774; 774; 702; 28038; 26827; 702; 21093; 37232; 39839; 30548
Dathcha; 17008; 25748; 12345; 10159; ; 10827; 18711; 9115; 26527; 19339; 14748; 549; 11326; 23125; 21607; 32329; 15454; 11591; ; 549; 12706; 5895; 549; 29429; 20041; 7975; 12898; 5625; 549; 18829; 16458; 549; 11363; 6616; 18172; 25402; 16179; 11024; 8865; 549; 549; 513; 19577; 15666; 11584; 12117; 20291; 20143; 14748
Eeth Koth; 16421; 11829; 13129; ; ; 10066; 21262; 10527; 15622; 14252; 12803; 512; 512; 9566; 26458; 11012; 12507; 512; ; 512; 49093; 3626; ; 7813; 60338; 6887; 7731; 458; 494; 16978; 494; 512; 512; 6267; 5876; 710; 494; 16219; 12507; 512; 512; 458; 512; ; 1304; 476; 512; 14135; 12803
Ima-Gun Di; 585; 11619; 10063; 585; ; 585; 23337; 531; 21729; 13811; 6037; 549; 585; 14165; 78449; 16504; 31513; 585; 6451; 585; ; 585; 585; 9354; 16084; ; 11192; 531; 585; 585; 585; 51905; 15571; 585; 9701; 531; 585; 585; 15535; 585; 19351; 531; 549; 531; 8963; 531; ; 16921; 6037
Jawa Engineer; 11564; 79967; 17067; ; ; 510; 19893; ; 29196; 20764; 14822; 510; 12913; 26124; 24074; 40666; 16707; 15119; ; 510; 13114; 510; 9726; 21990; 20758; 4110; 7079; ; 456; 15444; 18381; 510; 12780; ; 16873; 20700; 13889; 15655; 9726; 510; 510; 456; 14931; 19226; ; 14528; 15309; 19351; 14822
Jawa Scavenger; 11856; 20537; 15531; 6981; ; 534; 17010; 8516; 31803; 20308; 14762; 534; 10887; 20430; 31379; 40597; 15966; 12592; ; 534; 12217; 534; 4924; 16562; 18449; 3826; 8226; 480; 534; 14201; 15837; 12991; 10361; 534; 17239; 22983; 18487; 13645; 8814; 534; 11549; 480; 16838; 15967; 1416; 12633; 15197; 16837; 14762
Kit Fisto; 21957; 13127; 10549; 653; ; 743; 21113; 3785; 24706; 21784; 5765; 725; 743; 23065; 64782; 21837; 18659; 743; ; 743; 671; 743; 671; 7285; 26282; 11115; 9981; 653; 671; 743; 707; 743; 689; ; 9147; 671; 689; 743; 13577; 743; 14082; 653; 743; ; 18659; 13809; ; 11865; 5765
Lobot; 9985; 8957; 7546; 497; ; 479; 57496; 479; 62067; 7556; 54976; 479; 461; 17695; 61263; 12747; 9285; 479; ; 497; 3955; 461; 5539; 55908; 11728; 48530; 8912; 479; 497; 497; 8957; 12853; 11744; 461; 6403; 497; 479; 497; 8957; 479; 497; 443; 479; 5341; 443; 461; 443; 497; 54976
Plo Koon; 18586; 26668; 9911; 20287; ; 18441; 23091; 11770; 21376; 22311; 22471; 15996; 27844; 21154; 56106; 18418; 23162; 23707; 17867; 618; 18511; 10984; 24203; 23427; 23307; 20446; 23231; 20522; 20666; 17860; 8756; 16774; 21983; 19451; 25648; 10554; 17505; 20180; 21431; 25009; 22729; 23587; 15996; 24054; 21888; 582; 18264; 24466; 22471
Poe Dameron; 18696; 21079; 16893; 52632; ; 60122; 54046; 51119; 17365; 7272; 60908; 55387; 51119; 61183; 71928; 20722; 20597; 56608; ; 56545; 51119; 56396; 51119; 56143; 54482; 57268; 16353; 68626; 52168; 73835; 51119; 54921; 58059; 55122; 52979; 18289; 66071; 52710; 16899; 61797; 63669; 52827; 51119; 51119; 14325; 57622; 596; 8357; 60908
Talia; 16945; 18067; 32096; 14578; 6313; 13337; 20864; 10089; 19561; 16293; 19632; 11673; 16916; 43476; 22416; 91221; 34602; 13347; 20043; 10615; 19806; 18269; 12393; 20184; 17580; 5051; 32918; 9964; 12393; 15274; 5239; 24116; 59693; 18989; 12039; 28011; 16328; 13569; 12039; 12464; 17852; 6528; 12393; 15684; 11055; 18693; 11913; 33219; 19632
URoRRuR'R'R; 12166; 28384; 19781; 55123; ; 47612; 60952; 507; 25133; 7122; 89634; 12747; 26100; 56074; 23027; 49915; 14689; 14595; 38836; 5421; 21119; 525; 57019; 57068; 19600; 68230; 543; 543; 12718; 26131; 64285; 525; 525; 507; 4071; 525; 507; 15110; 12358; 17333; 50240; 507; 10555; 21469; 16299; 47854; 9033; 19481; 89634
Wedge Antilles; 17999; 20253; 20171; 34327; ; 38460; 34651; 35435; 38173; 14364; 37536; 40461; 32382; 37345; 39252; 52503; 46380; 37256; 11574; 10620; 15602; 39931; 43815; 37357; 20439; 33697; 35742; 36857; 19197; 35431; 34104; 32928; 37040; 35444; 35363; 12918; 12294; 34733; 35869; 18886; 36330; 37432; 11106; 39256; 34664; 39467; 34488; 39391; 37536
Lando Calrissian; 47439; 54284; 5374; 47691; ; 57323; 47053; 47850; 46894; 13055; 56926; 45167; 44367; 45657; 49826; 47748; 49218; 48568; 38877; 23447; 38877; 58033; 48214; 47462; 49596; 51734; 48067; 50537; 49612; 58457; 46932; 51433; 54673; 47572; 45706; 13945; 41034; 47086; 53313; 47730; 48727; 60465; 10057; 47602; 46639; 49330; 56049; 47386; 56926
Biggs Darklighter; 18007; 18152; 18937; 39886; ; 41573; 43247; 51270; 39991; 14859; 44771; 46898; 38074; 50162; 49855; 56524; 46314; 42241; 19584; 11218; 13544; 43370; 42352; 41459; 15820; 41984; 39693; 40357; 17725; 46410; 42564; 39830; 39154; 40832; 41343; 16603; 17030; 41258; 44687; 19493; 52048; 59024; 12244; 44650; 40964; 45052; 40207; 39353; 44771
Clone Sergeant - Phase I; 54106; 55970; 54629; 15765; 487; 49547; 53027; 51633; 48140; 58287; 49035; 12363; 46839; 20628; 56925; 19651; 58183; 14459; 48134; 5571; 51496; 53813; 56253; 50005; 55729; 20073; 48786; 14536; 11895; 25541; 47918; 13839; 52059; 16021; 56038; 37155; 19588; 51006; 16245; 48538; 55338; 8261; 11895; 57719; 49778; 55765; 52418; 17765; 49035
Coruscant Underworld Police; 14512; 9280; 8528; 442; ; 514; 17243; 1702; 10025; 11975; 3952; 514; 11750; 10026; 11624; 12177; 3988; 514; ; 2242; 514; 3178; ; 7298; 16976; 1774; 7764; 442; 2350; 514; 442; 460; 9980; 514; 2610; 460; 442; 514; 9316; 15126; 496; 19681; 514; ; 1486; 460; ; 3060; 3952
